#timestamp,Px,Py,Pz,qx,qy,qz,qw,vx,vy,vz
1693479667513537536,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667523588608,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667533639680,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667543690752,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667553741824,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667563792896,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667573843968,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667583895040,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667593946112,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667603997184,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667614048256,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667624099328,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667634150400,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667644201472,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667654252544,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667664303616,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667674354688,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667684405760,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667694456832,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667704507904,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667714558976,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667724610048,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667734661120,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667744712192,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667754763264,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667764814336,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667774865408,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667784916480,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667794967552,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667805018624,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667815069696,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667825120768,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667835171840,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667845222912,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667855273984,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667865325056,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667875376128,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667885427200,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667895478272,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667905529344,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667915580416,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
1693479667925631488,-640.0,-400.0,-7.177432537078857,0.0,0.0,0.007203365676105022,0.9999739527702332,0.0,0.0,0.0
